SESSION_ID,MOST_COMMON_ACTIVITY_LEVEL
1374,low activity
1458,low activity
1482,low activity
1826,low activity
1903,low activity
2105,moderate activity
2586,low activity
2679,low activity
2847,low activity
3074,low activity
3418,low activity
3592,low activity
3856,low activity
4129,low activity
4507,low activity
4703,low activity
4761,low activity
5172,low activity
5214,low activity
5693,moderate activity
5820,moderate activity
6431,low activity
6528,low activity
6817,low activity
6847,low activity
7058,low activity
7241,low activity
7395,low activity
7963,low activity
8052,moderate activity
8374,moderate activity
8649,low activity
8936,low activity
9127,moderate activity
9184,low activity
9241,low activity
9385,low activity
9658,moderate activity
